Module	Section	Sample Name	Source
featureCounts	all_sections	SRX12668176	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668176_all.txt.summary
featureCounts	all_sections	SRX12668239	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668239_all.txt.summary
featureCounts	all_sections	SRX12668178	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668178_all.txt.summary
featureCounts	all_sections	SRX12668184	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668184_all.txt.summary
featureCounts	all_sections	SRX12668197	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668197_all.txt.summary
featureCounts	all_sections	SRX12668207	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668207_all.txt.summary
featureCounts	all_sections	SRX12668189	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668189_all.txt.summary
featureCounts	all_sections	SRX12668227	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668227_all.txt.summary
featureCounts	all_sections	SRX12668185	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668185_all.txt.summary
featureCounts	all_sections	SRX12668198	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668198_all.txt.summary
featureCounts	all_sections	SRX12668212	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668212_all.txt.summary
featureCounts	all_sections	SRX12668187	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668187_all.txt.summary
featureCounts	all_sections	SRX12668214	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668214_all.txt.summary
featureCounts	all_sections	SRX12668194	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668194_all.txt.summary
featureCounts	all_sections	SRX12668210	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668210_all.txt.summary
featureCounts	all_sections	SRX12668215	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668215_all.txt.summary
featureCounts	all_sections	SRX12668192	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668192_all.txt.summary
featureCounts	all_sections	SRX12668237	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668237_all.txt.summary
featureCounts	all_sections	SRX12668170	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668170_all.txt.summary
featureCounts	all_sections	SRX12668196	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668196_all.txt.summary
featureCounts	all_sections	SRX12668241	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668241_all.txt.summary
featureCounts	all_sections	SRX12668201	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668201_all.txt.summary
featureCounts	all_sections	SRX12668203	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668203_all.txt.summary
featureCounts	all_sections	SRX12668179	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668179_all.txt.summary
featureCounts	all_sections	SRX12668171	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668171_all.txt.summary
featureCounts	all_sections	SRX12668221	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668221_all.txt.summary
featureCounts	all_sections	SRX12668232	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668232_all.txt.summary
featureCounts	all_sections	SRX12668208	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668208_all.txt.summary
featureCounts	all_sections	SRX12668217	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668217_all.txt.summary
featureCounts	all_sections	SRX12668172	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668172_all.txt.summary
featureCounts	all_sections	SRX12668234	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668234_all.txt.summary
featureCounts	all_sections	SRX12668173	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668173_all.txt.summary
featureCounts	all_sections	SRX12668225	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668225_all.txt.summary
featureCounts	all_sections	SRX12668218	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668218_all.txt.summary
featureCounts	all_sections	SRX12668213	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668213_all.txt.summary
featureCounts	all_sections	SRX12668223	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668223_all.txt.summary
featureCounts	all_sections	SRX12668199	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668199_all.txt.summary
featureCounts	all_sections	SRX12668231	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668231_all.txt.summary
featureCounts	all_sections	SRX12668188	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668188_all.txt.summary
featureCounts	all_sections	SRX12668205	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668205_all.txt.summary
featureCounts	all_sections	SRX12668183	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668183_all.txt.summary
featureCounts	all_sections	SRX12668182	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668182_all.txt.summary
featureCounts	all_sections	SRX12668204	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668204_all.txt.summary
featureCounts	all_sections	SRX12668236	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668236_all.txt.summary
featureCounts	all_sections	SRX12668233	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668233_all.txt.summary
featureCounts	all_sections	SRX12668174	/data/sbg/agargantilla/github/CYANICA/work/2d/1f0841046d44f3e4a2b7091b556957/featureCounts/SRX12668174_all.txt.summary
